id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo,original_index
151,201316CAMPOR1,16,2013,2013-08-25,16:00,Atlético-MG - Portuguesa,2-1,1.54,3.82,6.47,9,Atlético-MG,12,19,mandante,3,1,1,0.609323997830482,0.24564370593166,2.07361569942311,0.926384300576895,-3.44172066832926,19,5,-4,8,0,1.5,0.0495169652953198,,,3054
145,201715CAMBAH1,15,2017,2017-07-20,00:45,Atlético-MG - Bahia,0-2,1.71,3.59,5.03,15,Atlético-MG,11,12,mandante,0,0,-2,0.550574884367597,0.262251546592922,1.91397619969571,-1.91397619969571,-3.49123763362458,20,5,-1,4,1,1.5,0,,,6132
237,201024FLUCAM2,24,2010,2010-09-23,21:00,Fluminense - Atlético-MG,5-1,1.69,3.58,4.94,8,Atlético-MG,18,2,visitante,0,0,-4,0.188573743922204,0.260210696920583,0.825931928687196,-0.825931928687196,-11.261127612698,21,6,-16,3,1,1.7,0,,,821
262,201127CAMCEA1,27,2011,2011-10-02,16:00,Atlético-MG - Ceará,1-1,1.7,3.62,4.87,8,Atlético-MG,18,15,mandante,1,0,0,0.549846549229003,0.258215230300913,1.90775487798792,-0.907754877987923,-11.0016561971259,26,7,-12,2,0,1.7,0.259471415572099,,,1622
241,200925CAPSPO1,25,2009,2009-09-19,18:30,Atlético-PR - Sport,1-0,1.75,3.46,4.39,6,Atlético-PR,14,19,mandante,3,1,1,0.52509601789338,0.265583246044339,1.84087129972448,1.15912870027552,0.864754496273672,31,9,-11,4,0,1.5,0.00733569771585607,,,62
273,201528CAPPON1,28,2015,2015-09-27,11:00,Atlético-PR - Ponte Preta,1-2,1.9,3.33,4.16,13,Atlético-PR,11,9,mandante,0,0,-1,0.493266580733376,0.281443394412437,1.76124313661257,-1.76124313661257,0.872090193989528,38,11,-2,0,1,1.5,0,,,4625
97,201610CHACAP2,10,2016,2016-06-23,15:00,Chapecoense - Atlético-PR,0-0,2.02,3.16,3.95,14,Atlético-PR,9,8,visitante,1,0,0,0.237786933490288,0.297233666862861,1.01059446733373,-0.0105944673337257,1.34016623720678,14,4,-3,7,0,1.7,0.04462462059365,,,5405
114,201712CHACAP2,12,2017,2017-07-09,14:00,Chapecoense - Atlético-PR,1-1,1.81,3.39,4.64,14,Atlético-PR,14,15,visitante,1,0,0,0.202746506563926,0.277505542907557,0.885745062599335,0.114254937400665,1.29554161661313,15,4,-4,7,1,1.7,0,,,6167
199,201120BAHAMG1,20,2011,2011-09-01,20:30,Bahia - América-MG,0-0,1.63,3.72,5.28,8,Bahia,16,20,mandante,1,0,0,0.572447801909558,0.250830622879726,1.9681740286084,-0.9681740286084,-1.03183061740132,21,4,-6,2,1,1.6,0,,,1729
254,201426FLUBAH2,26,2014,2014-10-04,16:20,Fluminense - Bahia,1-1,1.86,3.35,4.34,13,Bahia,14,7,visitante,1,0,0,0.21603611349957,0.2798796216681,0.92798796216681,0.0720120378331901,-1.10670201628283,30,7,-2,7,0,1.6,0.07487139888151,,,3901
